DreamId,Old DreamId,Title,Date,,Answer,Respondent,Question Title
130,430,,20/01/2020,01/20/2020 00:02,"I had a dream I went to the Ross store near my house- it wasn’t daytime or nighttime but overcast. I was shopping for all kinds of things and then a man fell and there was a huge pool of blood. Paramedics were there and a big crowd so I went to get in line and then forgot something and there was another man dead, with mob security protection around him. They just put his body in the furniture section. I went to look at children’s books for my nephew and nieces, a lamp, and some artistic magazines for vision boarding but nothing was great enough to stand in line for so I started to leave. This kid was on the floor and police and paramedics were attending to him- they pulled off his shoes and he had drugs in them. I went back to shop and the monster guy was still hanging out dead on the furniture.",Vera,last_nights_dream2
131,688,,20/01/2020,01/20/2020 00:03,"I dreamt I ran a Yoga Empire: Aerial Yoga, Trainings, SUP Yoga, Festivals, Podcasting, Online. #careergoals",Kel Burgess,last_nights_dream
132,1093,,20/01/2020,01/20/2020 00:04,"I’m on a beach - lots of sand, kiawe trees all around and they’re hanging kind of low. I’m on set. There’s a movie being filmed. I’m not part of the movie. I’m just watching. I can hear the ocean rolling in, the waves are not to be big and I’m listening to the all actors say their lines. There’s about five of them sitting around in chairs doing their scenes and one of the actors is Henry Cavill - the guy who plays Superman. I’m a little bit starstruck and awestruck, but I’m staying out of the way just watching him. I have no idea why I’m there. So I watch them for a little bit and he takes a while to come out onto the set to do his lines, but then he leaves. I have definitely got an eye on him - just watching everything he does. Then somehow I get incorporated into the scene and it’s not so much that they’re filming anymore, it’s that all of the actors and myself, we’re all hanging out, working out. The beach setting has changed to an outdoor weight room setting with weight machines. It’s like we’re playing musical chairs but we’re doing it with the weight machines and we all keep going from one to the next. Somehow I’m part of the crew even though it’s all the actors now and we take turns doing our sets and then we all rotate one and get moved to the next machines. Of course I still have my eye on Henry Cavill because he played Superman, he’s hot. But there’s not a lot of talking still. All the other actors talk amongst themselves quite a bit, but I’m still quiet and observing for the most part. I think I answer a few questions from some of the other actors, but I’m feeling shy. Then I leave that place. Even though I’ve been integrated with the cast, I leave and go somewhere else - it’s outside and I have the impression that it’s part of a school. The handyman of the school - who in real life in this realm is the handyman at the place I live - he’s there at this school. There’s a big white box truck. He’s telling me how excited he is because they cleared out the storage units and got rid of hundreds of pounds of meat and pork. I’m so confused because I don’t know why they have meat and pork in the storage units because usually the handyman has all of the tools in the storage units. But I ask him, “hey, if you have more, let me know, because if you’re just giving away really good meat I will take it.” He says, “yes, but mostly it’s all gone.” I’m just excited for him because he’s so excited. Then I leave that place and go back to the set area and now it’s a much bigger area. It’s not just that beach. There’s an actual set where there’s scenery that’s been built and put up. It’s also part of a neighborhood. I can see houses and there’s streets. I’m sitting on a couch and I’m very very tired so I’m half laying on it. One of the actors - a male - comes and sits next to me. Because we’ve all spent time getting to know each other, it’s very comfortable, it’s fine that he sits next to me. Then I see Henry Cavill come towards me and he doesn’t have anything in his hand yet, but he kneels down and he says, “You have to have known that it was going to be one of the two of us that was going to come and propose to you,” - but not like a marriage proposal, but just like be my partner for life type of proposal. I’m smiling at him because I knew that it would happen, I just didn’t know when. So I say of course. Then he backs up and pulls this violin out from under the couch and some of the other cast members and the orchestra that was part of the movie playing the soundtrack start to play this song and it’s so funny because it’s weird and it’s a little bit high pitched. They’ve got violins and they’re all singing the song. I can’t remember what the words are, but it’s for me. I’m laughing because it’s such a funny sounding song, but apparently the whole cast and crew were in on it because they’re singing and they all seem very excited. There’s one moment where I look up and I do see an old classmate of mine who’s been lurking in the background and for one moment I have this huge pang of jealousy because she knew about it before I did and she didn’t tell me. I get this sense that she didn’t want it to happen. She wanted Henry for herself. But I pushed that aside because it’s very clear that he’s head over heels and nothing is changing that because now the entire set or staging area or place where this movie is being filmed is full of all of these onlookers and he’s made such a point to make sure that everybody knows that I’m his number one person, even though he goes back and does scenes. He comes back to me every single time in the sweetest way. He’s really very sweet and for the most part, everyone is totally happy about it and I am too. Then the scene shifts just a little bit and I’m sitting with a young girl who’s part of the cast and we’ve moved onto the set. We’re off that couch and now I’m onto the set somewhere down on those streets. She’s getting ready to say her lines and whatnot. She’s showing me this necklace that she has and she says, “My mama gave me money for when I finish this play I could go buy a bike.” She shows me the bike, but this girl is maybe five or six, not really reading yet, but she’s really really cute with curly blonde hair and this necklace seems to be very important to her - it has the symbol of a bike on it. I’m very attentive to her and some other babies that end up in the crowd and I’m watching them. Even though it’s now part of the scene we’re creating, Henry and I have a baby between us - it’s not ours, it’s a baby that was cast in the role, but he and I are now acting with this baby and taking care of it in a way. Then the scene ends and the dream moves on, but I’ve forgotten the rest.",Rose,last_nights_dream
133,1297,,20/01/2020,01/20/2020 00:05,"“The Explosion” I’m in a garage and it’s open. It’s set up like a garage sale - the garage is open, there’s all kinds of stuff, tables going down the driveway and all kinds of eclectic assortment of things for sale. Then there’s some other bigger things like bicycles and whatnot and some furniture and other freestanding items. It’s dense with material items as well as a traffic of people going back and forth. This is not my house. This is my friend’s house. He’s currently playing his old drum set at the back of the garage. He’s facing out so he can see who comes and goes and be of assistance if someone asks a question. I’m just hanging out there chatting casually with him. One of the women that comes up is an attractive brunette and she’s wearing a mini skirt. I notice that her body is very svelte like she works out and I notice this and think, wow she’s really attractive. She starts asking my friend about some item that she’s interested in. As he is answering her, she turns around so her back is to him, and she bends over to pick something up. Then this explosion comes out of her butt and the whole garage is sprayed with shit! It’s all over everything. I’m incredulous. I’m astonished that she’s done this and she just stands up and acts like nothing’s happened. She doesn’t apologize and she just walks away. My friend has got some of this on him and instead of cleaning himself up, he goes over and starts wiping up the stuff that is on the floor around the yard sale items without seeming to notice that he’s got some of it on him and he needs to go wash his face. I’m just really disgusted. For some reason I’m mute. I’m not saying anything, but I’m in horror. Then the dream shifts from that scene. I’m in another friend’s house. She’s a person I know in real life, she’s a substitute mom to me. I’m in her house and I’m upstairs. I’m helping sort something out. It goes from that scene of sorting to a restaurant I worked at while in University.",Freya Co'LM,last_nights_dream
134,1937,,20/01/2020,01/20/2020 00:06,I was at a house in the summer on a sunny day. I went outside and there were bees and wasps everywhere. They began to chase me and I was running and flailing about to stop them from being able to land on me long enough to sting me. There was more to this dream but I forget.,Bob,last_nights_dream2
135,1938,,20/01/2020,01/20/2020 00:07,"Jared and I were in a poker tournament. We were in a dimly lit room which felt a bit cramped though there were a few other tables and enough space. Maybe there were low ceilings or the tables were close together. I made it to the final table, but as usual, I was low on chips. I had to make moves or go bust. I looked down at my hand and it was some offsuit garbage. I folded. My next hand, however, was KJo or similar which was good enough for a shove. I started the hand with 4k chips and somehow managed to get through and rake in the pot ending up with a total of 9k chips. My very next hand is QQ which I of course shove. I get two callers and the flop comes out with a Q. The turn pairs the board and I think I'm worried that someone has a higher boat, but I hit quads on the river. At this point I'm in the money and am much more relaxed.",Bob,last_nights_dream2
136,70,,21/01/2020,01/21/2020 00:00,"Some kind of visit to a house, people are coming over for a social gathering….There has been a new change: under our kitchen sink, there are not just pipes and plumbing, but some boxes and suitcases of clothes….black containers and boxes….it is a surprisingly good idea….my wife is there staying with me….",KB,Last Night's Dream
137,689,,21/01/2020,01/21/2020 00:01,"I traveled throughout the galaxy with Cameron. All night long we were together again, and I awoke exhausted in the morning, but filled up with love.",Kel Burgess,last_nights_dream
138,776,,21/01/2020,01/21/2020 00:02,"Construction on the inside of a building. Wooden boards being installed in the roof, each have been inscribed with the artist’s name: Grower. The “W” is in the shape of an owl.",Ana,last_nights_dream
139,1017,,21/01/2020,01/21/2020 00:03,"I was at an astrology conference and I was teaching. Some big astrologer referenced me in a magazine article and said, “You need to listen to the journey to Sekhmet by new astrologer, Mary Rose.” I didn’t even see my name because it was covered, but I’m the one who wrote that meditation journey, so I knew it was me, but I was like, “I’m not a new astrologer, I’ve been doing this for 23 years.” But it was a big deal because the astrologer was really well known and to reference me was a really big deal and it was in print - in a magazine.",Mary,last_nights_dream
140,1936,,21/01/2020,01/21/2020 00:04,I was once again in the game GTA 5 and had to make a getaway. I managed to escape from the cops though it was closer than last time.,Bob,last_nights_dream2
141,71,,22/01/2020,01/22/2020 00:00,"A young woman, like a sales person in a store, is doing something to help people….But they take advantage of her….She has three weird tattoos on her face….Other people put them there, to mark her….I look closely, the tattoos are not well done….One has lots of little orange lines….I feel sorry for her….",KB,Last Night's Dream
142,1094,,22/01/2020,01/22/2020 00:01,"I have a mentoring meeting with one of my clients. I’ve ridden my bike to her place and park it in the garage. She meets me there. We’re talking about whatever it is she needs to talk about it. We go upstairs into her apartment and we have our session. She’s talking about actually having another baby with her partner, which is a big deal because it would have to be in vitro fertilization. She already has another child who is a little bit older. At a certain point she has to go pick them up, so we end our session after talking. She goes into her bedroom and grabs another child - a younger child, a little black orphan baby that she has adopted. It was not an infant, maybe 3 or 4 or 5, had been sleeping in the bedroom the whole time and I didn’t know. She puts the child in a front carrier, straps in, and heads out. We’re both heading out back down the stairs from her apartment to her garage where my bike is and her car is. I’m just surprised that there was another child in the apartment the whole time and apparently sleeping, but it didn’t come up in our conversation either. I thought it was so strange. She goes out. She leaves with her other child to pick up her child from school. I get my bike and start riding it down the street because I’m heading towards an Imbolc festival. As I’m riding my bike, I get off and walk. I’m walking down the main street that I grew up on in my childhood. I’m seeing the mountains to my right - they’re beautiful, covered in green grass and I can see the tree line. Then of course I can see all of the houses - the regular neighborhoods that I passed every day in my childhood. I’m heading down to the high school I went to as I was growing up and that is where the festival is. So I cross the little bridge that has a stream under it and I take a right into the school and I make it right past the cattle gate into the main entrance and set my bike down. I also have this strange lingering feeling that I have my own children I’m supposed to be watching. They show up at the school and I take them in and bring them through the entrance where I pay for admission. My old mentor who I learned some of my priestessing skills in my priestess apprenticeship is there. She is there to take us all on a guided journey before I get into the rest of the festival. It’s me and whoever else has shown up at the entrance of the gate, which I find interesting because she’s only taking the people who have been trained as priestesses to go do this meditation, and two of the other women that I see there - besides the women I went through the program with - are actually high school classmates of mine who tell me, “Oh yeah, we started this program five years ago. We’ve always been priestesses.” I’m really shocked because I didn’t see them the entire time I was on the program and also I feel a little bit betrayed, like I had been told that the group of us that had been going through the program was it and to find out there were other people that we didn’t know about in our spiral is very disturbing to me. We lay down anyway and we’re going through this meditation. I can hear my mentor’s voice and she says very specific words, which I cannot remember now. But there’s also a part where she sprinkles turmeric and saffron over us - those are the two herbs we are meant to be using with this meditation. And then I can feel my body taking in the herbs, taking in the words - there’s definitely a change in what feels like my consciousness and my field. When it’s done, I get up and I know it’s time for me to leave. I’m not supposed to stay there with the other priestesses or the people she had brought in to do this blessing. I head into the rest of the festival. It’s interesting, I can see yellow tulips everywhere. These tulips seem to be playing an important part of this Imbolc festival. Then I leave because I’m still so upset about these two women who were my high school classmates who also suddenly turned out to be these priestesses that I didn’t know that they were. They have some disdain and contempt for me because I had left the path early and I don’t like any of it. So I leave the festival and somehow the scene changes completely. I’m in a home with my mom and my dad and my dad is trying to keep the inside of the house - I think it was supposed to be my childhood home - he’s trying to keep it in order, keep it clean. My mom is in another section of the house - her office - and there’s her and a bunch of people in it and they’re all brainstorming jobs - how to work, how to make money. They’re making the assumption that I’m part of it, I’m going to start working it. But I’m actually in the office trying to brainstorm my own programs, my own classes, my own way to get more clients. They keep including me in their discussion and finally I get really pissed off and start yelling. I grab their papers they’ve been writing on and tear them up, rip them up. They finally say oh, okay, she’s not going to help with that and they go back to writing on their whiteboards brainstorming. I’m so annoyed that I get up and head out to a restaurant that they apparently also own. I can’t tell if both my parents own it or just one, but I go to the restaurant and there’s this pressure on me to help work in that restaurant too and I do not want to, but I do need money. So I go into the restaurant and it’s interesting because a different classmate is a server in the restaurant and there’s another man - two men are in there. They sit me down and they walk me through the way this restaurant works and how the emphasis is on kindness to the employees, which is so different from the restaurant experience I have where everyone is cutthroat and the chefs brandish knives at you and whatnot. So they are explaining to me how the restaurant works and how my duties would be as manager and how little I would have to do. I’m still not sold, I don’t want to work at a restaurant, I’ve already done that. While we’re sitting down at the meeting, people are coming into the restaurant and eating. Things are flowing. I can hear glasses clinking and silverware being used and orders being yelled out and lots of conversation. I look to my right and there’s this huge square table with 12 people sitting at it and they’re singing to a cat trying to communicate to the cat to do something. The cat is actually responding to it - it reminds me of snake charmers and all of these students know exactly what they’re doing. They’re communicating to this cat through singing, all 12 of them, and they are getting the cat to do what they want it to do and I’m just fascinated watching this happen. Then my attention goes back to the two guys I’m in the meeting with and I just tell them, “it’s lovely, you’re lovely, the restaurant seems lovely. The restaurant seems to run quite well, but I’m not interested. I don’t want to work in a restaurant.” Then the scene changes again, but I’ve forgotten the rest of the dream.",Rose,last_nights_dream
143,1298,,22/01/2020,01/22/2020 00:02,"“The Water” My dream begins in a shopping mall that has two levels. I’m going down the escalator. My son is in front of me. I see someone I know from yoga class. He invites my son and I to his and his partner’s cottage. I accept. So, we actually have our swimming stuff and a change of clothes with us because the reason my son and I are at the mall is because we are picking up a few things for a picnic because we’re about to go swimming. So we do this - we pick up some things in a store and I pack them in a drawstring bag and we get into our car. It is really, really, really hot and I’m thirsty. We drive a little bit to the place where there’s swimming - it’s a man made thing. I get out of the car and I open the backdoor and realize that there’s no water. I always have water. I don’t even buy other things to drink, I just bring water. I look in the back with the picnic stuff and there’s cans - and I don’t even buy anything in cans - of something called Crush. There’s a rootbeer one and an orange flavor and a grape flavor. I say to my son, “Oh no, look! This is all we have to drink and I’m so thirsty!” He takes the orange one so I pick up the rootbeer one and I open it up and I lift it up like the way Popeye takes spinach where you can see the stream of spinach go from the can into his mouth and I’m pouring the rootbeer into my mouth. I’m simultaneously disgusted by this sugary gooky dark color and I’m surprised that this is actually quenching my thirst. I down the whole thing and then it’s gone but I’m still thirsty. While I’m doing this, some stranger in the parking lot comes up to me and says, “You’re not allowed to have those here, they have alcohol in them.” And I’m like, “What?! I didn’t know that.” And then I’m worried because my son has one, so I look for him. He’s already finished his and he looks fine - he’s not acting like there’s been any alcohol and I’m not feeling like there’s been any alcohol, so I suspect what the stranger has said to me is incorrect. I’m also looking on the can and nowhere on the can does it say that there’s alcohol in it, although I’m also suspicious of the can because as I suspicious of all cans of sugary gooky drinks anyway with the list of 50 ingredients, none of which is actually a food group, well maybe one of them is alcohol and I’m dubious to begin with. At any rate, we place our empty cans in a recycle container and continue onto the water. I say to my son because he’s also thirsty, “You know, so am I. It must because it’s so hot. Let’s go swim and maybe that will quench our thirst.” So we dive into the pool and it’s an interesting pool - it’s not a square pool with chlorine. It’s round like a natural pool and made of the earth, but it's also so sculpted that you know it’s man made and it’s tiny in comparison to an inland natural pool in Canada which is very very deep because they’re made by glaciers. So we swim and the water is very refreshing. Then we’re finished swimming and we come out, dry ourselves off and lie there for a bit, then I suddenly remember, “Oh we were invited to A and his partner’s cottage! We need to go now if we’re going to get here before dark.” My son is excited, so we pack up our things, get back in the car, drive to their cottage and arrive. I realize we haven’t had anything to eat and I’m hoping they’re going to feed us. They ask, “Oh good, there you are. Have you had dinner?” We say no. So they do make us something even though they’ve already eaten. We’re sitting around the table chitchatting. They have three cats and they’re huge! One of them is stretched out on the top of the table. Its body is the same length as the table and you know how cats will roll from one side, over their back, to the other side when they like someone. So the cat’s on the table doing this rolling thing and the man comments to me: “Oh he must like you. He doesn’t normally do that.” So I pat him and he immediately gets up and gets down off the table. They show us where the spare bedroom is. My son and I go to bed, go to sleep, wake up - there’s nothing eventful. When we wake up, we’re repacking and the night before we hadn’t gone through the cottage, but as we’re standing having a morning tea on the back deck, I think, “Oh this landscape looks familiar.” To the side of their cottage is a really tall fence - it must be 30 or 50 feet tall and sticking out from the top of it is the rooftop and turrets of this fantastically architected house. I think, “Wow! It’s massive and beautiful.” It’s got gingerbread work and curvature and there’s ironwork on top of the gingerbread work and each turret has a weathervane that looks hand carved out of iron.” It’s gorgeous. I think, “I’ve seen this landscape before.” But everything is partially covered up and I can only see the fences, some covered boats and the water in front of me. It is Lake Ontario and I’m realizing it is familiar and I’ve traveled Lake Ontario sailing many times. I’m excited now to see it from a different angle - from someone else’s cottage, as I always start from my home and go under the bridge. I’ve never come from the shore that’s further along. We prepare to sail and as we bring our bags down to the shore, they have a boat. They also have a luge that only fits one person - it’s long and narrow and slightly curved. I see they have one of these and I ask if I can ride in that one, too. They say, “Are you sure because it’s really low down on the water, close to the surface?” I say, “Yes, I would love to.” My son gets in the boat with them. I get in the luge. As we leave their dock, I suddenly notice that what I thought was rocks were not. There are hundreds of covered boats and it’s just that the covers are the same color as the water. So there’s actually quite a bit of traffic to navigate through here. But we do. This luge has a small motor, but I’m not actually sure if it has a motor...I think I’m just being propelled by the currents of the water. It’s a little rough, but there’s no whitecaps, so I’m navigating through this okay. I do realize that it’s challenging though. We navigate out into the open water. I look back and everyone’s smiling on their sailboat. My son looks happy, so this is all good. As I’m looking back, I see all these other, what I thought were cottages but are not, they’re mansions and each one is unique and different and they’re incredibly beautiful. So I’m admiring this from low down in the water and appreciating that I can see this because we were invited to their cottage. Then the water gets a little more rough. It’s kind of hard to control the luge so I’m focusing on this and I start to feel really small because as we get out to the open water there are some quite large yachts that are right beside me. At one point I slightly regret my decision to choose this vehicle instead of being on the boat where they are, but I continue for a little bit longer. And then they come up closer and say, “Everyone is starting to take their covers off and there’s going to be a lot more traffic here and it could be dangerous. We think you should come in and join us.” So I do. They pull me in with a rope. They put the luge on their own boat at the side and I get on. We need money to go through the customs line on the border before you enter the harbor. We need money to pay to cross, like a toll. I say, “Oh no, I did not bring any money. I did not realize that we needed this.” My son says, “Oh mom, I got some when we were at the mall.” I say, “Oh, good for you! What did you bring?” He takes these bills out and they’re really long and narrow. They’re about 12 inches long and 3 inches wide. He’s got them folded in half and half again. And the top two are American. The ones in the middle are Cuban. I say, “Why would the bank give you that?” He says, “I don’t know. I didn’t request those kinds of funds.” Then I say to my friend, “Do you think they’ll accept this Cuban money?” My friend says, “I don’t know, but I have lots of our own money. We’ll just cover it.” Then he folds up a $20 bill and gives it to my son. I say, “Oh, you don’t have to do that.” My son looks a little uncomfortable. My friend says, “No, no, it’s fine. I just want to give this to him.” I should just graciously accept this gift then. Then I wake up.",Freya Co'LM,last_nights_dream
144,72,,23/01/2020,01/23/2020 00:00,"I am working with Amy from the “Brooklyn 99” tv show on some kind of project, with other people, moving things around in a building….I wonder, is it ok for them to have on their police uniforms while they do this?....there is some question about whether we should put some of the things into a special cardboard carrier, like for wine bottles….",KB,Last Night's Dream
145,1018,,23/01/2020,01/23/2020 00:01,"I was looking for a new car. I was passing a guy on an escalator and was like, “Wait a second.” I knew we were supposed to meet up.",Mary,last_nights_dream
146,1095,,23/01/2020,01/23/2020 00:02,"I’m sitting in an outdoor market. It’s sunny out and warm. I have shorts and a tank top on, my hair is down, and I’m having a beverage of some sort, doing some work. I look up and I see across the way, two women heading my direction. One is tall and dark hair, pale skin. The other one is shorter with lighter skin and blonde hair. I recognize the tall dark one, she is a friend of mine, or we were friends but it ended strangely and abruptly and I still have feelings of sadness, frustration and hurt around it. So, I see them strolling through this open marketplace and pretend not to see them - I put my face down and go back to work and put my hand up over my face. However, they stop right in front of my table anyway and when I look up, the tall dark-haired one says hello and seems to be very happy to see me. I’m a little bit cautious and wary and say hello and ask how they are and what do they want? nicely but I don’t feel particularly warm towards them. However, they persist and the tall dark-haired one invites me to go with them just to continue wandering around outside. It is such a nice day. I actually say okay. Part of me is warming up to her, but part of me still wants to say, hey you ghosted me, why are you even talking to me now? We start wandering through the marketplace and we go into shops and out of shops. I think we both already had our coffee or beverages, but we wander around getting gelato and some other things. At one point, she hands me a ring. I look at the ring, it’s very simple, I think there’s just a couple of stones in it, and I don’t remember what the stones are. It fits on my finger, which is rare because I have larger fingers. It’s lovely and I love rings, so I wear the ring. We continue to walk around and at what point we walk past this group of my other high school friends who are out on a lawn doing a bootcamp style workout. I introduced my taller friend and my shorter friend to the friends of mine who are doing this bootcamp. For whatever reason, I am struggling to remember the shorter blonde friend’s name, even though I know it, I’m having the hardest time in the introduction. I keep beating around the bush hoping she’ll just introduce herself, which she doesn’t and it just feels awkward and I eventually give it up as a bad job because I just can’t remember her name. After the awkward introductions we join them in their bootcamp. They’re doing abs. And so we all get into a hollow rock and I show them how to do a hollow rock with good technique. Then that’s done and we all get up. The tall friend and shorter friend and I continue on our way. Now we’re out from the marketplace and we’re in a slightly wooded area, but we’re walking through a corridor where there are no trees - the trees are on either side of us. It’s warm, so they’re all green and in full leaf and it’s a grassy area - it’s not a path, it’s wider than a path - that we’re walking through. In the distance, I can see there’s a cage and there’s people in it and there’s also all this light glinting off of metal. This metal looks like a wave or when a bird flaps its wings or when you watch a bunch of birds flying together or a school of fish and they all move together at the same time. As I get closer, we can see that it is indeed people, but instead of hands they have butcher knives and that’s the metal that the light is being glinted off of. They’re moving all in unison as a wave, doing some sort of dance in this cage, which is rather tightly packed and they’re managing not to cut themselves. However in my mind I’m thinking they must be rather dangerous because they are in a cage and they have butcher knives for hands. They are all men in business suits. We continue on after watching them for a little bit and there’s another cage right past this one. In this cage the people all have scissors for hands, kind of like Edward Scissorhands, the movie. We go by, but one of them calls out to us and stops us and tells my taller friend to give him some of the pearls that she has. She has two pearls and so she gives two of them. We watch as somehow with these scissor hands he makes two pearl earrings. He also has some other pieces that go with the pearls, so these earrings become rather big like a larger stone at the bottom and the pearl at the top, and he’s somehow managing to make these while we’re standing there. They are absolutely beautiful. He has scissor hands, he’s still doing it and we’re not sure how this is happening, but he makes this beautiful pair of earrings reaching through the bars of the cage this whole time. No one has been let out of any cages. She takes the earrings when he’s done and we continue on. It’s the most strange thing. We move past these cages and now we’re in a home of sorts. We’re all wanting a shower, it’s been hot out. So we go through this little shower that is part of this home - the rest of the home I don’t see at all. I just see that the shower is all tile and it’s the small 1x1 tile squares. They’re all a dark grey, but also translucent - kind of reminds me of labradorite, but instead of blues and greens, it’s greys. I drop my ring in the shower somewhere and I’m so upset about it. I want to find it. The two friends have gone on ahead of me. I was the last one in and they have wandered off somewhere. Now I’m on hands and knees looking for this ring. It’s kind of gross because the floor of the shower is covered in hair. The shower is for anyone to use even though it’s in a home, so who knows what I’m crawling through and I’m really grossed out. On the other hand I’m really fascinated because every single corner and crevice of this shower has, along with the hair and other gross stuff, a bunch of different beautiful rings. None of them look like the one I dropped which I’m getting upset about because it was given to me by this friend, but they’re all gorgeous. They all have different stones in them. They’re all different sizes. Some of them are the kind where they incase your entire finger. Some of them are very simple - one little golden band with a tiny little opal heart. One of them has gold shaped up and around and sticks up off your finger. They’re just amazing and I’m picking up all these rings. This other pair of women come in. As I’m picking up all these rings I’m thinking, “these are beautiful and I’m going to keep some of them, but also I really want to find mine.” But this other pair of women come in and start looking for a ring they’ve lost and I don’t want to show them all the ones I have, but they start crawling around on the ground and they’re picking up rings, too. So eventually we compare rings. She finds the one she’s looking for. I don’t find mine, but I find others. I’m really sort of heartbroken about this. At this point I take the rings I want and I go out the backdoor of this shower place and I meet up with my two friends who have been waiting for me. We continue on and now we’re in some place that looks like the pictures I’ve seen of Merikesh where there’s lots of stone everywhere and stone arches and they’re lighter in color. We’re walking through and I’m beginning to get sad because I know our time is coming to an end and both friends are going to leave and I still haven’t found the ring even though I’ve got ones that I like. I know that I have no idea when I’ll see either of these friends again and it’s making me a little upset. Then the dream ends.",Rose,last_nights_dream
147,1299,,23/01/2020,01/23/2020 00:03,"“Boundaries and Brats” This dream setting is in a house. I’ve had lots of dreams set in this house. It’s long and narrow, although the rooms are plenty big enough - they’re just longer than they are wide. There're houses in New Orleans called shotgun houses because they’re long like that and the entrance to all the rooms are off the hallway, so if you’re driving by and shooting a gun, you could shoot a bullet in the front door and it goes all the way through the house and out the backdoor. So I guess it’s a shotgun house. We’re in the very back room of this house, which is my bedroom. We’re having a house discussion, so all the people that live there are having a conversation about pets. We have lots and I love pets. But one of them has a cow and I don’t want it lying on my bed because it runs around outside and in the backyard, too, where there’s poops lying around on the grass, so it’s got poops on its feet or it could have at any given time. I don’t want that on my bed. So I’m saying, “Animals, if they can be trained to stay on the floor, then that’s fine, they’re allowed in my room. But if they’re up on my bed, then I won’t also allow them in my room.” The cow is in the room while we’re saying this. As I’m talking, it’s doing this sad eyes and pouty mouth. First it puts its head in my lap and looks sad, then it rolls a little bit at a time, like a toddler does when they’re limp and you’re trying to get them to walk and they just turn into a blob. It’s doing this. Then it’s on the bed. So I push it off and it’s heavy - it’s got a great big belly and it’s bigger than I am and it’s head is the size of my torso. But I push it back onto the floor and it looks at me mournfully. But I’m saying, “No, get off my bed.” But the people I’m having this discussion with don’t even hear me. And they say, “Okay, so it’s alright if the cow is on your bed as long as your bed is made and the quilt is on.” I say, “No! I just finished saying, not on my bed under any circumstances!” Then the dream instantaneously is full of people and one of the roommates is having a birthday party for an 8-10 year old kid. So it feels like there’s hundreds of these kids around and they start opening my drawers and pulling out my shirts. One of them has a pair of scissors and they’re making costumes to dress up with. She starts to cut up one of my shirts and use the pieces of it for something else. I say, “You’re not allowed to do that, get out of my dresser. Close the drawer.” She looks at me and rolls her eyes like that 13 year old girl way - make a face. Then she leaves, but I see her looking back as she’s leaving and I intuit that she’s just waiting until I’m out of my room and she’s going to come back in anyway. So I put my clothes that they’ve taken out back in the dresser drawers. So there’s nothing on the floor and my room is back intact again. I close the door. I go through this crowd of kids to look for the roommate who is responsible for them. This person has no defining features, I can’t tell if they’re a man or woman, they’re just a roommate. I say to the roommate, “You need to tell these kids that they’re not allowed in my room.” They’re like a phantom. I don’t really get a response from them and I realize it’s my responsibility to keep these kids out of my room. So I turn around and I see my bedroom door is open. So I go back in. This time I’m angry and I’m like, “I told you guys not to do this and you’re doing it anyway! I’m taking your scissors and all this stuff you’ve made because you’re not respecting this!” I kick them out of my room again with these angry words and push them out with my hands. I can feel my hands making contact with them. Now they’re giving me the angry teenager rolling eyes angry look. So they’re looking back at me and I’m standing there like grrrr. I look down the hallway and the roommate is now aware of my displeasure and decides to take them to a movie instead. But it’s communicated to me that it’s not because they’re respecting my boundaries or making the kids aware that there are boundaries they need to follow, but that “Oh well Freya is grumpy and terrible so we’re just going to go somewhere else.”",Freya Co'LM,last_nights_dream
148,73,,24/01/2020,01/24/2020 00:00,"A guy pushes Johnny Depp down a sidewalk on a skateboard….I am watching….Johnny is sitting on the skateboard, and it seems like fun at first, he is happy, but then he gets to the end of the sidewalk and a street corner and crashes into a food cart….I can see Johnny’s green cowboy boots as he sits in a heap on the ground….He almost rolled into the street, which would have been dangerous….As the guy who pushed him walks back up the street, smug and satisfied with himself, holding something green in his hand, a woman says to me with scorn, he is your son….",KB,Last Night's Dream
